Formulario#,Status,Round,Pick,Drafted Team
001,Drafted,1,1,Eagles
002,Drafted,9,43,Raiders
004,Drafted,6,26,Eagles
005,Drafted,6,29,Kolts
007,Drafted,1,5,Owls
008,Drafted,5,25,Owls
010,Drafted,2,8,Raiders
013,Drafted,1,3,Raiders
014,Drafted,7,33,Raiders
017,Drafted,9,42,Dragons
019,Drafted,8,40,Owls
021,Drafted,7,32,Dragons
025,Drafted,7,34,Kolts
028,Drafted,4,17,Dragons
030,Drafted,10,50,Owls
031,Drafted,3,15,Owls
032,Drafted,5,23,Raiders
033,Drafted,8,38,Raiders
034,Drafted,1,2,Dragons
035,Drafted,2,10,Owls
036,Drafted,2,9,Kolts
039,Drafted,10,47,Dragons
040,Drafted,4,19,Kolts
042,Drafted,5,21,Eagles
043,Drafted,3,13,Raiders
046,Drafted,9,44,Kolts
045,Drafted,8,37,Dragons
047,Drafted,8,39,Kolts
050,Drafted,10,46,Eagles
054,Drafted,1,4,Kolts
055,Drafted,4,20,Owls
060,Drafted,9,45,Owls
069,Drafted,2,7,Dragons
070,Drafted,2,6,Eagles
071,Drafted,3,14,Kolts
072,Drafted,4,16,Eagles
073,Drafted,5,22,Dragons
074,Drafted,6,28,Raiders
078,Drafted,5,24,Kolts
079,Drafted,4,18,Raiders
081,Drafted,7,35,Owls
083,Drafted,8,36,Eagles
084,Drafted,10,48,Raiders
087,Drafted,6,27,Dragons
090,Drafted,3,12,Dragons
091,Drafted,7,31,Eagles
099,Drafted,10,49,Kolts
103,Drafted,3,11,Eagles
105,Drafted,9,41,Eagles
108,Drafted,6,30,Owls
